EVOLUTION                ;37,5 G/KG + 525 G/KG;14022;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;59,3
EVOLUTION                ;37,5 G/KG + 525 G/KG;14022;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;57,5
EXALT                    ;SC 120 + 61,50 G/L E;12067;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;800,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;758,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;720,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;603,62
EXALT                    ;NÃO INFORMADO       ;11979;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;961,49
EXALT                    ;SC 120 + 61,50 G/L E;12067;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;780,75
EXALT                    ;SC 120 + 61,50 G/L E;12067;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;770,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;758,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;495,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;590,52
EXALT                    ;NÃO INFORMADO       ;11979;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;958,8
EXALT                    ;SC 120 + 61,50 G/L E;12067;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;750,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;650,0
EXALT                    ;SC 120 + 61,50 G/L E;12067;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;601,08
